source_id,source_name,source_name_norm,source_type,relation,target_id,target_name,target_name_norm,target_type,source_chunk_id,published_date,evidence,confidence
adc0f89fca852dd3fb0443bb,Citi,citi,Company,USES,2bd987c7d1314640ffda3c25,blockchain technology,blockchain technology,Technology,3ac1a0d4fdc98952e374::c0000,2023-09-26,Citi has launched a token service using blockchain technology to offer digital asset solutions for Citi institutional clients,0.96
adf44602b912aeb35898df53,Hollywood Casino at Greektown,hollywood casino at greektown,Company,USES,46cad4ce2b6a271ecd8dd0fc,Amazon One,amazon one,Technology,72ff44ac6bc220df7d85::c0000,2022-12-15,Hollywood Casino at Greektown ... powered by Amazon’s Just Walk Out technology and Amazon One,0.94
adf44602b912aeb35898df53,Hollywood Casino at Greektown,hollywood casino at greektown,Company,USES,556c94222dfdf115b2b2dc09,Just Walk Out technology,just walk out technology,Technology,72ff44ac6bc220df7d85::c0000,2022-12-15,Hollywood Casino at Greektown is a new grab-and-go market powered by Amazon’s Just Walk Out technology,0.96
b1d4bcc3cf0bdd464cb971b3,Sineng Electric,sineng electric,Company,USES,f22a43b8f0411a47aa0a37ff,EliteSiC,elitesic,Technology,1a05beb7aa3071be6fd7::c0000,2023-05-16,Sineng Electric will integrate onsemi EliteSiC silic,1.0
c235cd69d150215d16d7f65c,IFI Techsolutions,ifi techsolutions,Company,PARTNERED_WITH,fb0f4df56fab164ec48722f0,Microsoft,microsoft,Company,f2a20c3f98c3fb8dc3cc::c0000,2023-05-15,As a global Microsoft partner IFI Techsolutions continues to verify IFI Techsolutions excellence in customer delivery and technical expertise via the Microsoft Azure Expert MSP program.,1.0
c48dd33fb3a3d4e4d534b7d1,Inspire Brands Inc.,inspire brands inc.,Company,PARTNERED_WITH,3d1bd3ac35a5389a55346eb0,Fiserv Inc.,fiserv inc.,Company,78b8735a42ec08485f7f::c0000,2023-09-27,has expanded its work with processor Fiserv Inc.,1.0
ce493f3efd776c3a90d1c029,Crexendo,crexendo,Company,DEVELOPED,9c0f88aeaf73717ad2fa7f5c,VIP Business Communications Platform,vip business communications platform,Technology,391d8c6c09f3574ace59::c0000,2023-04-19,Crexendo's VIP Business Communications Platform ®,1.0
ce493f3efd776c3a90d1c029,Crexendo,crexendo,Company,PARTNERED_WITH,882d90a927df29162eb5c193,Jenne Cloud Services Brokerage,jenne cloud services brokerage,Technology,391d8c6c09f3574ace59::c0000,2023-04-19,Jenne Cloud Services Brokerage is a new Technology Services Brokerage for Crexendo's VIP Business Communications Platform,1.0
d0eaaccf04669315e412ad07,DI,di,Company,DEVELOPED,4cde62c1b36431ec61fb8da2,Test Properties,test properties,Technology,b79a700c32d38dfbb808::c0000,2023-07-20,The first app to be developed within the DI Gateway framework ... is called Test Properties.,1.0
d0eaaccf04669315e412ad07,DI,di,Company,USES,ac54b41b5103eee88df6c1af,DI Gateway framework,di gateway framework,Technology,b79a700c32d38dfbb808::c0000,2023-07-20,all new DI lab automation and productivity web apps will be developed within the DI Gateway framework.,1.0
d1f928688b9c32e1c2f69516,GORE,gore,Company,PARTNERED_WITH,c6cec60aaa735d5acb8599bc,AGC Biologics,agc biologics,Company,43bdd40313e396c6a385::c0000,2022-12-12,The collaboration includes ... alongside AGC Biologics’ mAb-based CDMO,1.0
e37bc65aed41709c8353685f,Smart Eye,smart eye,Company,DEVELOPED,8ee7fac7e9752dc1200cfeb2,Driver Monitoring System,driver monitoring system,Technology,452645a488a55910006f::c0000,2023-06-26,Smart Eye the leading developer of Driver Monitoring System (DMS) technology,1.0
e6c3db5c28c9a15bfafd2e04,Apple,apple,Company,DEVELOPED,60b98da1faeede8d922c779a,Vision Pro,vision pro,Technology,77175bc7ffab3269c5f4::c0000,2023-06-07,Apple's new Vision Pro,1.0
f393018180f79b9f6c36eae0,CLogic,clogic,Company,PARTNERED_WITH,cc9c6ee3857729e221d3f6de,ServiceNow,servicenow,Company,61a1c40b921f530a0072::c0000,2023-03-16,CLogic ... announced CLogic gold-level sponsorship and participation ... ServiceNow Knowledge 2023 conference.,1.0
f6d2ac21aaf58e399a1e6e97,ServiceM8,servicem8,Company,DEVELOPED,d9d6da3968d65176c991bdb7,job management app,job management app,Technology,e356f07d50b390ae7af7::c0000,2023-04-16,ServiceM8 the job management app for trade contractors & service businesses,1.0
fb0f4df56fab164ec48722f0,Microsoft,microsoft,Company,DEVELOPED,9e3880f43365efb35f3d244a,Airband Initiative,airband initiative,Technology,33f76af2d7f1afee070c::c0000,2022-12-14,New collaboration through the Microsoft Airband Initiative will increase internet availability...,0.95
0e8cb1e145496e1cf52ec867,Nathan Snell,nathan snell,Person,LEADS,fdcc62798ad39e7e1264dc77,Raleon,raleon,Company,b78a3e8e1fbfd8bed3f1::c0000,2023-08-25,Nathan Snell co-founder and CEO of ... Raleon,1.0
11fadc9a85ce38f8458803fa,Mark Leary,mark leary,Person,WORKED_AT,5c0dfda16cbfa608d8cfc87b,IDC,idc,Company,24e2333c327a81eca0f6::c0000,2023-03-03,Mark Leary research director for network analytics and automation at IDC,1.0
129ccc847ade97bed1b1cafc,Barry Holt,barry holt,Person,WORKED_AT,b79293f3033084556da650c0,Information Services Group,information services group,Company,e8c7698ca94b690ef93e::c0000,2023-08-05,Barry Holt; Senior Advisor; Information Services Group,1.0
14867d84d39403e98b4fa1cf,Grant,grant,Person,USES,7c1be7c4e2146e68a558b673,telegraph,telegraph,Technology,840090f7efb65b47d8cb::c0000,2023-02-06,Grant marveled at the technology ... telegraph ... at Grant and Sherman's disposal.,1.0
33f3a8e6dc71a1133c41d464,Mike Dixon,mike dixon,Person,WORKED_AT,5e23345d0c9e864e4bd77553,Focus Brands,focus brands,Company,b14f218291d93e6cbd2d::c0000,2023-05-05,Focus Brands’ CFO Mike Dixon,1.0
70729979bebcf27989b7eb60,Jim Love,jim love,Person,LEADS,fa61af5c07002e18bdba1554,IT World Canada,it world canada,Company,428ed79eddcc1e3980f2::c0000,2022-12-28,Jim Love chief information officer (CIO) of IT World Canada,1.0
76a986b1ff8cfae54ce1c5a1,Eric Schummer,eric schummer,Person,FOUNDED,07f21a993871226abed12f9f,Senzary LLC,senzary llc,Company,1f966db1e28d1122c747::c0000,2023-01-24,Eric Schummer the founder ... of Senzary LLC,1.0
76a986b1ff8cfae54ce1c5a1,Eric Schummer,eric schummer,Person,LEADS,07f21a993871226abed12f9f,Senzary LLC,senzary llc,Company,1f966db1e28d1122c747::c0000,2023-01-24,Eric Schummer ... CEO of Senzary LLC,1.0
dcdf4f1ab126438b93dea7e8,Sherman,sherman,Person,USES,7c1be7c4e2146e68a558b673,telegraph,telegraph,Technology,840090f7efb65b47d8cb::c0000,2023-02-06,Grant marveled at the technology ... telegraph ... at Grant and Sherman's disposal.,1.0
